participation and engagement,culture,digital,youth and the world,policy dialogues,democratic values,climate change,health and well-being,natural sustainability,research and innovation,education,renewable energy,employment and inclusion,n/a,interval
1,1,0,0,0,0,0,0,0,0,0,0,1,7,2003Q1
8,2,1,1,0,0,0,1,0,0,0,0,2,16,2003Q1
6,0,0,1,2,0,0,0,0,0,1,0,1,19,2003Q2
9,0,1,0,0,1,0,2,0,0,0,0,0,17,2003Q2
3,2,0,1,1,0,2,1,1,1,0,0,0,18,2003Q2
7,2,0,0,1,0,2,3,0,0,0,0,3,13,2003Q3
8,1,0,1,0,0,0,1,0,0,1,0,0,19,2003Q3
3,0,0,0,1,0,1,1,0,0,2,1,2,19,2003Q3
9,1,0,0,2,0,2,2,0,0,1,1,2,11,2003Q4
8,2,0,0,1,0,1,0,0,0,1,0,1,16,2003Q4
7,0,0,1,2,0,1,2,0,0,0,0,0,18,2003Q4
11,0,0,0,0,0,1,1,1,0,2,0,0,15,2004Q1
7,2,0,0,0,0,0,4,0,0,0,0,2,14,2004Q1
8,1,2,1,2,0,0,2,0,0,0,0,0,15,2004Q1
10,3,0,1,2,0,1,2,0,0,0,0,0,11,2004Q2
6,0,1,0,1,0,1,3,1,0,1,0,2,14,2004Q2
9,1,0,0,0,0,0,1,0,0,0,3,3,13,2004Q2
6,2,0,1,2,0,0,2,1,0,3,0,1,13,2004Q3
7,1,1,0,1,0,0,3,0,0,0,0,0,18,2004Q3
5,1,0,1,0,0,0,4,0,1,1,0,1,15,2004Q3
9,2,0,1,0,0,1,1,0,0,0,0,0,17,2004Q4
9,0,0,1,4,0,0,2,0,1,1,2,1,9,2004Q4
7,1,0,0,3,0,2,1,0,1,0,0,2,14,2004Q4
12,0,0,0,0,0,1,2,0,0,0,0,0,16,2005Q1
6,0,0,0,3,0,0,2,0,0,2,0,0,15,2005Q1
6,0,1,0,1,0,1,2,0,0,0,0,0,20,2005Q1
7,2,0,0,1,0,0,1,0,0,0,0,1,17,2005Q2
6,2,0,0,0,0,1,2,0,1,1,1,0,17,2005Q2
10,0,1,0,0,0,1,0,0,0,1,0,1,16,2005Q2
8,1,3,0,0,0,0,3,0,0,2,0,1,13,2005Q3
9,1,1,0,0,0,0,3,1,0,1,0,1,14,2005Q3
7,0,1,0,0,0,1,1,0,0,2,0,2,16,2005Q3
10,0,0,1,1,0,1,2,0,0,0,0,0,16,2005Q4
4,0,0,0,0,0,0,0,1,1,1,0,0,9,2005Q4
