interval,publish_date,Positive,Negative
2007Q1,2007-01-01,540,360
2007Q2,2007-04-01,546,364
2007Q3,2007-07-01,552,368
2007Q4,2007-10-01,552,368
2008Q1,2008-01-01,546,364
2008Q2,2008-04-01,546,364
2008Q3,2008-07-01,552,368
2008Q4,2008-10-01,552,368
2009Q1,2009-01-01,540,360
2009Q2,2009-04-01,546,364
2009Q3,2009-07-01,552,368
2009Q4,2009-10-01,552,368
2010Q1,2010-01-01,534,356
2010Q2,2010-04-01,546,364
2010Q3,2010-07-01,546,364
2010Q4,2010-10-01,552,368
2011Q1,2011-01-01,540,360
2011Q2,2011-04-01,546,364
2011Q3,2011-07-01,540,360
2011Q4,2011-10-01,552,368
2012Q1,2012-01-01,546,364
2012Q2,2012-04-01,546,364
2012Q3,2012-07-01,540,360
2012Q4,2012-10-01,552,368
2013Q1,2013-01-01,363,537
2013Q2,2013-04-01,357,553
2013Q3,2013-07-01,357,563
2013Q4,2013-10-01,426,494
2014Q1,2014-01-01,356,544
2014Q2,2014-04-01,397,513
2014Q3,2014-07-01,386,524
2014Q4,2014-10-01,334,576
2015Q1,2015-01-01,311,589
2015Q2,2015-04-01,338,552
2015Q3,2015-07-01,368,552
2015Q4,2015-10-01,344,566
2016Q1,2016-01-01,412,478
2016Q2,2016-04-01,354,556
2016Q3,2016-07-01,371,549
2016Q4,2016-10-01,299,621
2017Q1,2017-01-01,248,652
2017Q2,2017-04-01,257,643
2017Q3,2017-07-01,266,644
2017Q4,2017-10-01,282,628
2018Q1,2018-01-01,342,548
2018Q2,2018-04-01,388,512
2018Q3,2018-07-01,333,587
2018Q4,2018-10-01,325,595
2019Q1,2019-01-01,348,542
2019Q2,2019-04-01,334,576
2019Q3,2019-07-01,308,612
2019Q4,2019-10-01,307,613
2020Q1,2020-01-01,259,631
2020Q2,2020-04-01,260,630
2020Q3,2020-07-01,282,638
2020Q4,2020-10-01,356,554
2021Q1,2021-01-01,346,544
2021Q2,2021-04-01,332,568
